Substation:	121144
Substation voltage:	1.03
Time window start:	6a.m.
Adoption rate:	100%
EV charger rating:	800Watts
EV adopters:	511210207001312 511210207001391 511210207001264 511210207001657 511210207001252 511210207001349 511210207001287 511210207001311 511210207001403 511210207001350 511210207001119 511210207002765 511210207001331 511210207001304 511210207001257 511210207001654 511210207001429 511210207001432 511210207001221 511210207001430 511210207001118 511210207001071 511210207001263 511210207001289 511210207002771 511210207001256 511210207001658 511210207001072 511210207001322 511210207001290 511210207001321 511210207001251 511210207001258 511210207001260 511210207001262 511210207001093 511210207001268 511210207001427 511210207001457 511210207001404 511210207001253 511210207001266 511210207001313 511210207001320 511210207001351 511210207001659 511210207001302 511210207001094 511210207001390 511210207001425 511210207001655 511210207001426 511210207001220 511210207002687 511210207001424 511210207001265 511210207001299 511210207002674 511210207001431 511210207001255 511210207001298 511210207002673 511210207001117 511210207001301 511210207001673 511210207001333 511210207001656 511210207001353 511210207001352 511210207001433 511210207001267 511210207001261 511210207001259 511210207001303 511210207001314 511210207001254 511210207001288 511210207001332 511210207001428 511210207001300
EV charging time slot start:	17hours
EV charging time slot period:	12hours
EV charging:	40.0% to 90.0%
#############################################
Residence Usage Profile
#############################################
511210207001728:	4.005 4.005 4.005 4.005 6.0075 6.0075 6.0075 6.12208 6.00753 6.0075 6.0075 6.0075 6.0075 6.0075 7.707520000000001 13.0364 5.616899999999999 4.005 4.005 4.005 4.13 4.0050300000000005 4.005 4.005
511210207001896:	4.005 4.005 4.08087 4.133640000000001 6.0075 6.0075 6.0075 6.0075 6.0075 6.0075 6.52083 6.89458 7.732550000000001 7.29147 10.67895 12.28589 4.25513 4.005 4.005 4.005 4.005 4.005 4.005 4.005
511210207001893:	0.06006 0.04299 0.02593 1.85636 1.27339 0.923 0.923 0.923 0.923 0.923 0.923 0.923 1.3845 2.73869 2.771 0.9230700000000001 1.17299 0.0037400000000000003 0.01239 0.023469999999999998 0.03477 0.04075 0.046520000000000006 0.07712000000000001
